cal_date,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
2022-01-04,0,0,0,0,1,0,0
2022-01-15,0,1,0,0,0,0,0
2022-01-21,0,2,0,0,0,0,0
2022-01-22,0,2,0,0,0,0,0
2022-01-24,0,2,0,0,0,0,0
2022-01-25,0,4,0,0,0,0,0
2022-01-27,0,2,0,0,0,0,0
2022-01-28,0,1,0,0,0,0,0
2022-01-29,0,2,0,0,0,0,0
2022-02-01,0,0,0,0,0,1,0
2022-02-23,0,2,0,0,0,0,0
2022-02-24,0,52,0,1,0,0,0
2022-02-25,0,28,0,7,0,0,3
2022-02-26,0,14,1,3,0,0,3
2022-02-27,1,20,0,2,0,0,3
2022-02-28,1,14,1,7,0,0,2
2022-03-01,2,17,1,5,0,0,9
2022-03-02,0,17,0,6,0,0,1
2022-03-03,1,28,1,10,0,0,4
2022-03-04,10,16,1,7,0,0,0
2022-03-05,0,18,0,11,0,0,1
2022-03-06,0,18,2,10,1,0,2
2022-03-07,0,20,0,13,0,0,0
2022-03-08,0,13,0,3,0,0,1
2022-03-09,0,13,5,9,0,0,6
2022-03-10,0,10,2,3,0,0,10
2022-03-11,2,20,1,9,0,0,8
2022-03-12,0,14,5,16,0,0,1
2022-03-13,1,8,3,6,1,0,1
2022-03-14,0,13,1,8,0,0,5
2022-03-15,1,16,10,8,0,1,6
2022-03-16,1,14,3,12,2,0,3
2022-03-17,0,8,7,7,1,0,4
2022-03-18,1,6,8,6,0,1,13
2022-03-19,0,9,9,11,0,0,1
2022-03-20,1,8,2,5,1,0,2
2022-03-21,0,19,4,4,1,0,0
2022-03-22,0,18,7,8,2,0,1
2022-03-23,0,9,7,6,0,0,2
2022-03-24,0,12,8,12,0,0,0
2022-03-25,0,8,7,2,1,0,4
2022-03-26,0,16,4,4,0,0,5
2022-03-27,0,13,3,2,0,0,1
2022-03-28,0,15,10,13,3,0,1
2022-03-29,0,9,5,8,0,0,0
2022-03-30,0,13,8,1,1,0,3
2022-03-31,1,27,3,4,0,0,1
2022-04-01,0,20,2,6,2,0,0
2022-04-02,0,25,1,5,0,0,0
2022-04-03,0,27,1,11,0,1,2
2022-04-04,3,20,3,7,0,0,1
2022-04-05,1,21,3,7,1,0,1
2022-04-06,0,14,2,14,1,0,0
2022-04-07,1,20,6,6,2,1,1
2022-04-08,1,16,13,3,0,0,4
2022-04-09,1,9,6,2,1,0,0
2022-04-10,0,14,4,11,0,0,0
2022-04-11,0,26,6,2,2,1,0
2022-04-12,0,11,5,8,0,0,2
2022-04-13,1,5,9,0,0,1,23
2022-04-14,0,19,3,2,2,0,2
2022-04-15,0,10,11,7,0,0,4
2022-04-16,0,12,6,11,0,0,0
2022-04-17,0,6,9,3,3,0,1
2022-04-18,0,19,7,2,3,0,0
2022-04-19,1,16,8,4,1,1,1
2022-04-20,0,11,13,3,1,0,1
2022-04-21,0,13,7,9,0,0,1
2022-04-22,0,12,6,2,3,0,0
2022-04-23,0,16,6,3,2,0,1
2022-04-24,0,8,3,1,0,0,1
2022-04-25,0,6,2,2,3,0,1
2022-04-26,0,3,2,2,0,1,0
2022-04-27,2,12,2,3,3,1,0
2022-04-28,0,8,4,8,4,0,0
2022-04-29,0,8,2,2,4,1,1
2022-04-30,0,9,1,3,2,0,5
2022-05-01,0,6,0,12,2,2,2
2022-05-02,0,3,0,4,4,0,0
2022-05-03,0,12,0,4,8,0,1
2022-05-04,0,11,1,2,4,0,0
2022-05-05,1,11,0,1,7,0,2
2022-05-06,0,13,2,2,6,0,0
2022-05-07,0,15,0,4,5,0,0
2022-05-08,0,14,0,4,5,0,1
2022-05-09,0,7,0,2,8,0,14
2022-05-10,0,13,1,5,18,0,0
2022-05-11,0,4,0,4,12,0,0
2022-05-12,0,6,0,7,10,1,0
2022-05-13,1,10,4,5,8,0,6
2022-05-14,0,14,0,10,1,0,0
2022-05-15,0,7,0,4,16,0,0
2022-05-16,0,9,1,8,6,1,0
2022-05-17,0,4,3,8,12,2,1
2022-05-18,0,5,1,3,10,0,0
2022-05-19,1,13,1,7,5,0,0
2022-05-20,0,5,3,4,13,0,0
2022-05-21,0,3,0,6,6,1,4
2022-05-22,0,7,0,2,16,0,0
2022-05-23,0,12,0,5,8,0,0
2022-05-24,0,7,0,1,9,3,1
2022-05-25,0,16,2,3,12,0,0
2022-05-26,0,16,3,4,7,1,0
2022-05-27,0,9,0,5,9,0,5
2022-05-28,1,12,1,2,17,0,2
2022-05-29,1,13,0,0,7,0,0
2022-05-30,0,10,1,2,3,0,0
2022-05-31,0,4,1,1,4,0,0
2022-06-01,0,9,0,5,3,0,0
2022-06-02,0,4,0,2,4,0,0
2022-06-03,0,14,0,1,4,0,1
2022-06-04,0,19,0,3,12,0,0
2022-06-05,0,4,0,0,10,0,1
2022-06-06,0,19,0,3,5,0,1
2022-06-07,0,7,0,1,3,0,0
2022-06-08,0,1,0,1,1,0,0
2022-06-09,0,1,0,1,3,0,0
2022-06-10,0,7,0,1,4,0,0
2022-06-11,0,4,1,0,11,0,1
2022-06-12,0,10,5,7,4,0,0
2022-06-13,0,6,2,10,5,0,0
2022-06-14,0,3,0,3,2,0,0
2022-06-15,0,5,0,10,5,0,2
2022-06-16,0,6,0,2,4,1,0
2022-06-17,0,11,0,4,10,0,0
2022-06-18,0,6,0,1,9,0,0
2022-06-19,0,2,0,1,3,0,0
2022-06-20,0,5,0,3,11,1,0
2022-06-21,0,3,0,3,5,0,1
2022-06-22,0,1,0,0,12,0,0
2022-06-23,0,3,0,0,7,0,0
2022-06-24,2,12,0,2,12,0,0
2022-06-25,0,5,0,1,6,0,0
2022-06-26,0,7,0,0,4,1,0
2022-06-27,0,2,0,0,9,0,1
2022-06-28,0,4,0,3,2,0,0
2022-06-29,0,2,0,2,5,0,0
2022-06-30,0,10,0,1,8,0,1
2022-07-01,0,8,0,3,17,1,0
2022-07-02,0,7,0,2,11,0,2
2022-07-03,0,14,0,5,8,0,2
2022-07-04,2,8,0,7,10,0,0
2022-07-05,0,8,0,5,5,0,1
2022-07-08,0,2,0,2,0,0,0
2022-07-11,0,4,0,0,2,0,0
2022-07-13,0,1,0,0,0,0,0
2022-07-15,0,0,0,0,1,0,0
2022-07-17,0,1,0,1,0,0,0
2022-07-20,0,1,0,1,0,0,0
2022-07-21,0,0,0,1,2,0,0
2022-07-22,0,1,0,1,0,0,0
2022-07-23,0,1,0,1,0,0,0
2022-07-24,0,1,0,0,0,0,0
2022-07-25,0,2,1,0,4,0,1
2022-07-26,1,8,0,3,7,0,1
2022-07-27,0,3,0,1,7,0,1
2022-07-28,1,4,0,1,4,0,0
2022-07-29,0,2,0,0,1,1,0
2022-07-30,0,7,0,1,0,0,1
2022-07-31,0,6,0,1,2,0,0
2022-08-01,0,3,1,2,4,0,1
2022-08-02,0,3,0,0,3,0,0
2022-08-03,0,1,0,0,0,0,0
2022-08-05,0,2,0,2,1,0,0
2022-08-06,0,9,0,2,3,1,0
2022-08-07,1,8,0,0,3,0,0
2022-08-08,0,1,0,0,0,0,0
2022-08-09,0,15,0,0,3,0,0
2022-08-10,0,4,0,1,3,1,0
2022-08-11,0,9,0,2,10,0,0
2022-08-12,0,11,0,2,4,0,0
2022-08-13,0,10,0,2,8,0,1
2022-08-14,0,4,0,5,9,0,0
2022-08-15,0,1,0,3,10,2,0
2022-08-16,0,12,0,4,6,2,0
2022-08-17,0,8,0,2,10,0,1
2022-08-18,0,10,0,2,17,0,0
2022-08-19,0,7,0,1,6,0,0
2022-08-20,0,12,1,0,10,0,0
2022-08-21,1,6,0,1,7,0,1
2022-08-22,0,7,0,1,11,0,0
2022-08-23,0,12,0,6,5,0,2
2022-08-24,0,9,0,3,4,0,0
2022-08-25,0,0,0,0,1,0,0
2022-08-26,0,1,0,0,0,0,0
2022-08-27,0,1,0,0,0,0,0
2022-08-28,0,0,0,1,0,0,0
2022-08-29,0,5,0,4,1,0,0
2022-08-30,2,23,0,6,4,0,3
2022-08-31,0,10,0,8,7,1,0
2022-09-01,0,21,0,5,7,0,1
2022-09-02,0,10,0,12,8,0,6
2022-09-03,1,4,1,6,15,0,11
2022-09-04,1,6,0,4,5,0,2
2022-09-05,1,13,0,3,5,0,1
2022-09-06,4,14,1,1,1,0,4
2022-09-07,0,12,1,3,6,0,2
2022-09-08,0,26,0,4,4,0,2
2022-09-09,2,12,0,3,2,0,4
2022-09-10,1,26,0,5,4,0,1
2022-09-11,0,31,1,3,3,0,1
2022-09-12,1,35,0,3,5,1,0
2022-09-13,0,10,1,7,6,0,4
2022-09-14,1,26,0,7,8,1,1
2022-09-15,1,9,1,5,17,2,0
2022-09-16,3,14,0,2,3,0,0
2022-09-17,0,4,0,1,7,0,5
2022-09-18,0,8,0,3,0,0,0
2022-09-19,2,14,0,3,6,0,5
2022-09-20,0,9,0,0,1,0,0
2022-09-21,0,9,0,4,8,0,4
2022-09-22,0,17,0,7,5,0,1
2022-09-23,0,14,0,8,4,0,1
2022-09-24,0,17,0,6,8,1,4
2022-09-25,0,15,0,2,4,0,4
2022-09-26,2,19,0,7,11,2,2
2022-09-27,0,18,0,2,5,1,0
2022-09-28,0,10,1,9,4,1,0
2022-09-29,0,5,0,0,1,1,0
2022-09-30,2,15,0,5,4,0,1
2022-10-01,0,19,0,2,2,1,5
2022-10-02,1,13,0,0,0,0,1
2022-10-03,0,24,0,3,4,0,0
2022-10-04,3,20,0,0,0,1,6
2022-10-05,9,11,0,4,6,1,0
2022-10-06,0,17,0,1,12,2,1
2022-10-07,0,11,0,0,3,0,3
2022-10-08,1,4,0,2,6,0,2
2022-10-09,0,8,0,1,2,0,0
2022-10-10,0,31,0,3,1,1,1
2022-10-11,0,3,0,2,1,0,2
2022-10-12,0,5,0,3,3,0,3
2022-10-13,2,7,0,0,5,0,4
2022-10-14,3,6,0,3,1,0,0
2022-10-15,0,6,0,2,3,0,3
2022-10-16,0,9,0,0,1,0,4
2022-10-17,1,7,0,0,2,0,12
2022-10-18,6,7,0,1,2,0,1
2022-10-19,0,3,0,0,1,0,0
2022-10-20,6,1,0,1,0,0,0
2022-10-21,0,2,0,1,0,0,1
2022-10-22,0,2,0,2,7,0,0
2022-10-23,0,7,0,5,5,1,0
2022-10-24,10,9,0,2,5,0,1
2022-10-25,2,10,0,4,7,0,0
2022-10-26,6,3,0,2,1,1,1
2022-10-27,2,9,0,7,5,1,0
2022-10-28,2,3,0,2,1,0,1
2022-10-29,0,11,0,0,1,0,2
2022-10-30,0,5,0,1,4,0,1
2022-10-31,1,6,0,4,2,1,8
2022-11-01,1,4,0,7,4,1,3
2022-11-02,1,1,0,0,3,0,7
2022-11-03,2,10,0,4,5,1,11
2022-11-04,14,9,0,0,5,1,2
2022-11-05,0,4,0,8,2,0,31
2022-11-06,0,10,0,12,3,0,1
2022-11-07,2,2,0,2,19,1,0
2022-11-08,1,7,0,2,2,0,0
2022-11-09,0,11,0,2,9,1,4
2022-11-10,0,20,0,5,3,3,13
2022-11-11,1,18,0,8,1,1,6
2022-11-12,0,11,0,5,7,4,4
2022-11-13,0,13,0,4,7,1,0
2022-11-14,0,7,0,3,3,0,14
2022-11-15,0,4,0,4,1,0,3
2022-11-16,1,4,0,3,2,2,1
2022-11-17,1,4,0,2,7,0,2
2022-11-18,0,4,0,2,3,0,0
2022-11-19,0,2,0,0,1,0,0
2022-11-20,0,3,1,11,6,2,0
2022-11-21,1,0,2,1,3,0,1
2022-11-22,2,1,0,0,0,0,0
2022-11-23,0,4,0,0,1,0,1
2022-11-24,3,4,0,2,6,0,2
2022-11-25,0,9,0,4,6,1,0
2022-11-26,0,4,0,0,4,1,0
2022-11-27,0,3,0,3,7,1,0
2022-11-28,0,2,0,4,2,1,0
2022-11-29,0,4,0,4,6,0,7
2022-11-30,1,3,0,1,11,0,1
2022-12-01,2,3,0,2,3,2,0
2022-12-02,0,3,0,2,1,3,0
2022-12-03,1,3,2,2,10,3,0
2022-12-04,5,2,2,2,1,2,4
2022-12-05,2,9,0,4,6,1,1
2022-12-06,1,5,0,6,7,0,4
2022-12-07,0,4,0,4,9,0,1
2022-12-08,0,3,0,2,7,2,0
2022-12-09,0,4,0,2,8,0,1
2022-12-10,0,5,0,2,8,2,0
2022-12-11,0,1,0,2,5,0,1
2022-12-12,0,3,0,1,4,0,0
2022-12-13,0,6,0,3,7,2,0
2022-12-14,0,3,1,1,4,2,1
2022-12-15,0,9,0,6,7,0,0
2022-12-16,0,7,0,3,9,0,0
2022-12-17,3,16,0,4,3,0,1
2022-12-18,0,4,0,0,4,0,0
2022-12-19,0,2,0,1,1,2,0
2022-12-20,2,2,0,0,3,0,1
2022-12-21,0,8,0,0,4,2,0
2022-12-22,0,2,0,0,5,0,7
2022-12-23,0,4,0,1,0,1,0
2022-12-24,3,3,0,2,4,0,0
2022-12-25,0,6,0,1,3,1,0
2022-12-26,2,7,0,2,14,3,0
2022-12-27,4,7,0,4,10,3,1
2022-12-28,3,2,0,3,2,1,0
2022-12-29,0,3,0,1,6,3,2
2022-12-30,0,7,0,8,2,0,0
2022-12-31,0,14,0,8,5,1,0
2023-01-01,0,3,0,2,5,1,0
2023-01-02,0,2,0,0,2,0,0
2023-01-03,0,5,0,0,4,0,1
2023-01-04,0,5,0,2,1,1,0
2023-01-05,7,2,0,0,1,5,0
2023-01-06,2,7,0,0,5,2,0
2023-01-07,0,4,0,0,4,4,0
2023-01-08,0,4,1,1,6,1,2
2023-01-09,0,3,0,2,1,1,3
2023-01-10,7,5,0,2,7,3,1
2023-01-11,0,4,0,1,6,0,3
2023-01-12,2,11,0,0,12,3,0
2023-01-13,6,14,0,0,15,3,0
2023-01-14,0,10,0,0,8,0,0
2023-01-15,0,9,0,2,4,4,0
2023-01-16,3,3,0,4,12,0,0
2023-01-17,5,0,3,5,1,1,0
2023-01-18,0,3,0,1,5,1,0
2023-01-19,0,2,0,0,0,0,0
2023-01-20,0,1,0,0,1,1,0
2023-01-21,0,5,0,0,2,2,0
2023-01-22,0,0,0,2,6,0,0
2023-01-23,0,5,0,1,10,4,1
2023-01-24,0,2,0,0,5,2,3
2023-01-25,0,5,0,1,1,2,0
2023-01-26,0,3,0,0,8,3,1
2023-01-27,0,4,0,0,13,2,0
2023-01-28,0,7,0,2,13,1,0
2023-01-29,0,6,0,6,11,0,0
2023-01-30,0,1,0,1,7,1,0
2023-01-31,0,3,1,3,9,1,2
2023-02-01,0,5,0,0,9,0,0
2023-02-02,0,6,0,3,6,1,1
2023-02-03,1,6,0,2,4,3,0
2023-02-04,0,5,1,4,5,2,0
2023-02-05,1,6,0,5,5,15,0
2023-02-06,0,3,0,10,0,18,0
2023-02-07,0,1,0,5,0,13,0
2023-02-08,0,14,0,2,0,20,0
2023-02-09,0,3,0,1,3,18,0
2023-02-10,0,7,0,3,1,20,0
2023-02-11,0,5,0,0,1,12,0
2023-02-12,0,2,0,6,1,14,0
2023-02-13,0,2,0,0,0,7,0
2023-02-14,0,3,0,5,0,20,0
2023-02-15,0,6,0,4,0,23,0
2023-02-16,0,6,0,3,0,11,0
2023-02-17,0,8,1,4,1,28,0
2023-02-18,0,6,0,3,1,13,0
2023-02-19,0,4,0,10,0,20,0
2023-02-20,0,3,0,5,0,20,1
2023-02-21,0,10,0,6,0,28,0
2023-02-22,0,6,0,3,0,20,1
2023-02-23,0,1,0,1,0,5,0
2023-02-24,0,6,0,0,0,13,0
2023-02-25,0,4,0,7,1,29,0
2023-02-26,0,1,2,3,0,17,0
2023-02-27,0,0,0,1,0,7,0
2023-02-28,0,7,0,8,0,13,0
2023-03-01,0,0,0,0,0,7,0
2023-03-02,0,1,0,1,0,10,0
2023-03-03,0,3,0,0,0,3,0
2023-03-04,0,2,0,1,0,22,0
2023-03-05,0,3,0,2,0,10,0
2023-03-06,0,10,1,1,0,19,0
2023-03-07,0,1,0,1,0,19,0
2023-03-08,0,0,0,2,0,8,0
2023-03-09,1,2,0,0,0,7,0
2023-03-10,0,3,0,0,0,19,0
2023-03-11,2,11,5,4,1,26,0
2023-03-12,0,7,0,3,0,17,0
2023-03-13,2,2,0,2,0,24,0
2023-03-14,2,1,1,2,0,10,0
2023-03-15,1,9,1,11,0,34,0
2023-03-16,0,6,0,0,0,5,0
2023-03-17,0,2,0,3,0,9,0
2023-03-18,0,4,2,2,1,21,0
2023-03-19,0,7,2,1,0,20,0
2023-03-20,2,9,0,1,2,26,0
2023-03-21,2,5,0,1,0,17,0
2023-03-22,0,14,0,2,0,36,0
2023-03-23,1,2,0,3,0,22,0
2023-03-24,6,2,1,3,1,33,0
2023-03-25,0,2,0,7,1,25,0
2023-03-26,0,2,0,6,0,38,0
2023-03-27,10,8,2,5,0,29,0
2023-03-28,0,8,0,4,0,20,0
2023-03-29,2,9,0,5,0,17,0
2023-03-30,2,3,2,3,0,24,0
2023-03-31,6,0,1,2,0,10,0
2023-04-01,1,1,4,2,0,21,0
2023-04-02,0,9,0,2,0,20,0
2023-04-03,4,8,3,2,0,30,0
2023-04-04,2,5,0,1,0,27,0
2023-04-05,1,5,0,1,0,19,0
2023-04-06,1,4,0,3,0,23,0
2023-04-07,2,9,0,4,0,20,0
2023-04-08,0,8,0,0,0,25,0
2023-04-09,0,1,1,7,0,35,0
2023-04-10,5,7,1,2,0,37,0
2023-04-11,0,3,0,3,0,28,0
2023-04-12,6,26,0,2,0,23,0
2023-04-13,2,6,0,6,0,37,0
2023-04-14,4,5,0,2,0,28,0
2023-04-15,0,6,0,1,0,14,2
2023-04-16,1,6,0,4,0,22,0
2023-04-17,0,5,0,1,0,16,1
2023-04-18,1,7,0,3,0,17,0
2023-04-19,3,4,0,1,0,18,0
2023-04-20,0,3,0,1,0,15,0
