geo_id,latitude,longitude,date,name,description,icon,originalSource,geolocation,units,origin,allGeolocations,gear
fd207cc9-ded4-4265-31ea-08db40046b63,18.59256716,4.36664857,2020-12-27T17:00:00,27 1700 DEC 2020,"Russian ""instructors"" in BANGUI. Suspected to be Wagner Group operatives. 9H8V+M24 Bangui, Central African Republic",_CIRCLES_666666_UNKNOWN_56_100.png,07:08 https://vesti7.ru/video/2254319/episode/27-12-2020/,None,Wagner PMC,3,False,UNK
475d9ab4-8692-451e-31f6-08db40046b63,-7.94321732,12.53186685,2022-02-28T17:00:00,28 1700 FEB 2022,"A second, smaller Wagner base can be seen at the Bamako airport. G3J4+PPV Bamako, Mali",_CIRCLES_666666_UNKNOWN_56_131.png,https://twitter.com/casusbellii/status/1629207139255296000,None,Wagner PMC,2,True,---
fa1298e6-8292-407d-31f5-08db40046b63,18.12212213,4.04414577,2022-09-25T17:00:00,25 1700 SEP 2022,"Wagner's main base in the CAR is located SW of Bangui, on the remains of Jean Bedel Bokassa Palace.

This base has been used by the Russian group since at least 2018. 24VC+MR5 Bobangui, Central African Republic",_CIRCLES_666666_UNKNOWN_56_131.png,https://twitter.com/casusbellii/status/1621830693859778560,None,Wagner PMC,2,True,---
54b2db05-7b75-439c-5df5-08db3ea1a80e,32.550414,15.598044,2023-04-15T08:24:00,15 0824 APR 2023,"Rapid Support Forces takeover of Khartoum International Airport, Sudan halting air traffic for an indefinite period. HHX2+657 Khartoum, Sudan",_CIRCLES_400080_BE_56_61.png,https://twitter.com/Worldsource24/status/1647158338160062464,None,Rapid Support Forces,3,True,UNK
7193fdf2-7460-48f7-5df6-08db3ea1a80e,31.84044,18.44288,2023-04-15T09:19:00,15 0919 APR 2023,"RSF fighters say they have taken control of Marawi airport and have captured members of the Egyptian military. CRVR+554 Merowe, Sudan",_CIRCLES_400080_BE_56_100.png,https://twitter.com/amalhamdanelex/status/1647167661598470144,None,Rapid Support Forces,3,True,---
0b9be023-1707-4c4e-5df3-08db3ea1a80e,37.223156,19.61493,2023-04-15T09:36:00,15 0936 APR 2023,"Type 59 tank (presumably RSF) rolling past MIG Motor Company (SKODA AUTO) in Port Sudan. J67F+X7C Port Sudan, Sudan",_CIRCLES_400080_BE_56_41.png,https://twitter.com/Rouaaa33/status/1647172135671005184,None,Rapid Support Forces?,1,True,T-54/55 or Type 59 tank.
82f0f34a-01cd-4128-31f3-08db40046b63,32.529412,15.604781,2023-04-15T10:13:00,15 1013 APR 2023,"Sound of gunfire in downtown Khartoum, Sudan. JG3H+WQ7 Khartoum, Sudan",_CIRCLES_3184FF_UA_CIV_56_30.png,https://twitter.com/ikushkush/status/1647151174552887296,None,---,3,True,---
a62b4a5b-c108-4839-5df1-08db3ea1a80e,32.5705,15.57175,2023-04-15T10:42:00,15 1042 APR 2023,"The Air Force attacks the strongholds of the rebel Rapid Support Forces south of Khartoum, and an army statement describes the rebel forces as ""the enemy"". HHCC+M5X Khartoum, Sudan",_CIRCLES_0051CA_UA_56_31.png,https://twitter.com/Sudan_tweet/status/1647188647882399744,None,Sudanese Armed Forces,3,True,MIG-29SE
521c93f2-42e4-470c-5e3c-08db3ea1a80e,32.550789,15.596632,2023-04-15T10:51:00,15 1051 APR 2023,"Several aircraft damaged including a Saudia A330 at Khartoum Airport as Sudan’s paramilitary Rapid Support Forces takes control of the airport after days of tension in the country. HHW2+M83 Khartoum, Sudan",_CIRCLES_AC7339_NEUTRAL_56_82.png,https://twitter.com/aviationbrk/status/1647190988056670209 https://twitter.com/Tatarigami_UA/status/1647679041833512960	https://twitter.com/thewarzonewire/status/1647663661576777728 https://twitter.com/JacdecNew/status/1647932349902905345,None,Rapid Support Forces,3,True,Boeing 737
950d7214-c8ee-49f9-5df0-08db3ea1a80e,32.562749,15.579835,2023-04-15T11:01:00,15 1101 APR 2023,"Fighting in Khartoum been the Sudanese Army and the Rapid Support Forces. HHH7+W3Q Khartoum, Sudan",_CIRCLES_3184FF_UA_CIV_56_30.png,https://twitter.com/ikushkush/status/1647193514848002049,None,Sudanese Armed Forces; Rapid Support Forces,3,True,UNK
50ee1f26-1ba0-47a0-5e3b-08db3ea1a80e,32.56031,15.595844,2023-04-15T11:05:00,15 1105 APR 2023,"Sudanese air force in the air above Khartoum. HHW6+84M Khartoum, Sudan",_CIRCLES_0051CA_UA_56_31.png,https://twitter.com/amalhamdanelex/status/1647194364634972162,None,Sudanese Armed Forces,3,True,UNK
6f648dd2-a5b3-4183-5df4-08db3ea1a80e,37.22216,19.618789,2023-04-15T12:17:00,15 1217 APR 2023,"Tanks on the streets of Port Sudan. J69C+GV7 Port Sudan, Sudan",_CIRCLES_400080_BE_56_41.png,https://twitter.com/aldin_aba/status/1647212660876820483,None,Rapid Support Forces?,3,True,UNK
ca4f1019-fd25-4d20-31f4-08db40046b63,32.544053,15.605755,2023-04-15T12:53:00,15 1253 APR 2023,"Building on fire nearby the Sudanese General Command. JG4V+8J3 Khartoum, Sudan",_CIRCLES_3184FF_UA_CIV_56_20.png,https://twitter.com/TramaZoul/status/1647191400692211712,None,UNK,1,True,---
bf4096db-845f-4904-5e44-08db3ea1a80e,32.497934,15.731557,2023-04-15T15:44:00,15 1544 APR 2023,"Airstrike by the Sudanese Armed Forces. PFJX+J5F Omdurman, Sudan
",_CIRCLES_0051CA_UA_56_10.png,https://twitter.com/TramaZoul/status/1647234384343203841,None,Sudanese Armed Forces,3,True,UNK
9f88fa5b-c1b6-4539-3193-08db40046b63,32.533716,15.608351,2023-04-16T08:20:00,16 0820 APR 2023,"The Rapid Support Forces clash with the Sudanese army on the Mak Nimr bridge linking Khartoum and Khartoum North, hundreds of meters from the Republican Palace. JG5M+8FW Khartoum, Sudan",_CIRCLES_400080_BE_56_90.png,https://twitter.com/Roaastudies/status/1647484981877374977,None,Sudanese Armed Forces; Rapid Support Forces,3,True,UNK
4a73139e-4755-4c2f-5e3e-08db3ea1a80e,32.5468,15.60119,2023-04-16T08:24:00,16 0824 APR 2023,"Overview of Khartoum Airport, Burning planes visible and destroyed planes visible. JG2W+FPF Khartoum, Sudan",_CIRCLES_AC7339_NEUTRAL_56_82.png,https://twitter.com/Tatarigami_UA/status/1647679040583524355 https://twitter.com/JacdecNew/status/1647932349902905345,None,Rapid Support Forces,2,True,UNK
451bfa00-012f-4f41-5e3d-08db3ea1a80e,32.5456,15.6055,2023-04-16T08:24:00,16 0824 APR 2023,"Damage visible at the building of the General Command Of the Sudanese Armed Forces. JG4W+465, Khartoum, Sudan",_CIRCLES_0051CA_UA_56_192.png,https://twitter.com/Tatarigami_UA/status/1647679046904340480 https://twitter.com/thewarzonewire/status/1647663661576777728	,None,Rapid Support Forces; Sudanese Armed Forces,2,True,---
91e9b167-7b84-47c3-5e40-08db3ea1a80e,32.541187,15.598683,2023-04-16T17:00:00,16 1700 APR 2023,"Destroyed access gate to Khartoum Airport. HGXR+FFF Khartoum, Sudan",_CIRCLES_AC7339_NEUTRAL_56_192.png,https://twitter.com/thewarzonewire/status/1647663661576777728,None,Rapid Support Forces,2,True,---
500a550f-6be0-43e9-5e41-08db3ea1a80e,32.53977,15.598923,2023-04-16T17:00:00,16 1700 APR 2023,"Smoke rising from security administration building. HGXQ+HW6 Khartoum, Sudan",_CIRCLES_AC7339_NEUTRAL_56_192.png,https://twitter.com/thewarzonewire/status/1647663661576777728	,None,Rapid Support Forces,2,True,---
40e6f284-d774-4001-5e42-08db3ea1a80e,32.550386,15.599084,2023-04-16T17:00:00,16 1700 APR 2023,"Destroyed Airbus A330 at Khartoum Airport. HHX2+J5J Khartoum, Sudan",_CIRCLES_AC7339_NEUTRAL_56_82.png,https://twitter.com/thewarzonewire/status/1647663661576777728	,None,Rapid Support Forces,2,True,Airbus A330
0054ee42-6a19-4528-5e43-08db3ea1a80e,32.547951,15.602091,2023-04-16T17:00:00,16 1700 APR 2023,"2 Destroyed Il-76 Aircraft on fire at Khartoum AIrport JG2X+R5P Khartoum, Sudan",_CIRCLES_AC7339_NEUTRAL_56_82.png,https://twitter.com/thewarzonewire/status/1647663661576777728 https://twitter.com/JacdecNew/status/1647932349902905345,None,Rapid Support Forces,2,True,2x Il-76 Aircraft
7bae78ab-28b2-4c06-31f7-08db40046b63,32.527309,15.52749,2023-04-17T16:33:00,17 1633 APR 2023,"Fighting near a crossroad in Khartoum. GGGG+XWV Khartoum, Sudan
",_CIRCLES_400080_BE_56_90.png,https://twitter.com/TramaZoul/status/1648001779785670658,None,Sudanese Armed Forces; Rapid Support Forces,3,True,---
ca7f51e6-b823-4030-3222-08db40046b63,32.500259,15.211749,2023-04-17T17:00:00,17 1700 APR 2023,"A view days ago RSFSudan captured a tank storage of the Sudanesian army at the Jebel Aulia helicopter-base south of the Khartoum capital of Sudan. 6G62+M4R Jebel Aulia, Sudan",_CIRCLES_400080_BE_56_41.png,https://twitter.com/CalibreObscura/status/1647901907174715398,None,Rapid Support Forces,3,True,T-72Z Type 63 
d425c99a-a725-410b-321b-08db40046b63,32.533821,15.526154,2023-04-17T20:11:00,17 2011 APR 2023,"Tank firing in the streets of Khartoum, Gabra 19. GGGM+FG8 Khartoum, Sudan",_CIRCLES_400080_BE_56_41.png,https://twitter.com/BenDoBrown/status/1648026511381786624,None,Rapid Support Forces,3,True,UNK
32c35d24-9223-4960-321a-08db40046b63,32.532216,15.5258878,2023-04-17T20:11:00,17 2011 APR 2023,"Tank firing in the streets of Khartoum, Gabra 19. GGGJ+9V4 Khartoum, Sudan",_CIRCLES_400080_BE_56_10.png,https://twitter.com/BenDoBrown/status/1648026511381786624,None,Rapid Support Forces,3,True,UNK
0cbd66d5-6268-46c2-3219-08db40046b63,32.5283531,15.5254216,2023-04-18T00:22:00,18 0022 APR 2023,"A huge impact around a police warehouse, just behind Jabra scientific college. GGGH+589 Khartoum, Sudan",_CIRCLES_400080_BE_56_10.png,https://twitter.com/marksnoeck/status/1648089600034844672,None,Rapid Support Forces,3,True,---
4e63ccf8-1ce0-4c11-31e0-08db40046b63,32.504933,15.211062,2023-04-18T17:00:00,18 1700 APR 2023,"Destroyed helicopter in Jebel Aulia 6G63+CXF Jebel Aulia, Sudan ",_CIRCLES_0051CA_UA_56_22.png,https://twitter.com/trbrtc/status/1648374604795199504,None,Sudanese Armed Forces; Rapid Support Forces,2,True,UNK
d10becfa-a636-4845-31e1-08db40046b63,32.50444,15.210151,2023-04-18T17:00:00,18 1700 APR 2023,"Destroyed helicopter in Jebel Aulia. 6G63+3Q8 Jebel Aulia, Sudan",_CIRCLES_0051CA_UA_56_22.png,https://twitter.com/trbrtc/status/1648374604795199504,None,Sudanese Armed Forces; Rapid Support Forces,2,True,UNK
616d7610-d825-4140-31e2-08db40046b63,32.503818,15.211176,2023-04-18T17:00:00,18 1700 APR 2023,"Destroyed helicopter in Jebel Aulia. 6G63+FGG Jebel Aulia, Sudan",_CIRCLES_0051CA_UA_56_22.png,https://twitter.com/trbrtc/status/1648374604795199504,None,Sudanese Armed Forces; Rapid Support Forces,2,True,UNK
fa4c8dfa-ced9-4144-31e3-08db40046b63,32.508195,15.211683,2023-04-18T17:00:00,18 1700 APR 2023,"Destroyed helicopter in Jebel Aulia. 6G65+M7G Jebel Aulia, Sudan",_CIRCLES_0051CA_UA_56_22.png,https://twitter.com/trbrtc/status/1648374604795199504,None,Sudanese Armed Forces; Rapid Support Forces,2,True,UNK
c1d3641d-04ef-4ae3-31ec-08db40046b63,30.231875,13.163281,2023-04-18T17:00:00,18 1700 APR 2023,"At El Obeid Airbase, about 360 km southwest of Khartoum, several Su-25 ground attack aircraft have been destroyed. 567J+8Q6 El Obeid, Sudan",_CIRCLES_0051CA_UA_56_32.png,https://twitter.com/trbrtc/status/1648374993099669526,None,Rapid Support Forces,2,True,UNK
77f06920-84d0-4024-321c-08db40046b63,31.836973,18.441238,2023-04-18T17:00:00,18 1700 APR 2023,"Damage sustained to buildings at the Merowe airport. CRRP+FQX Merowe, Sudan",_CIRCLES_AC7339_NEUTRAL_56_192.png,https://twitter.com/BenDoBrown/status/1648405551783591938,None,---,2,True,---
40b543bf-ca26-4b85-321d-08db40046b63,37.2212358,19.6118075,2023-04-18T19:10:00,18 1910 APR 2023,"Low-flying fighter jet from Sudan Air Force flying over Port Susan’s city area. J66C+PFH Port Sudan, Sudan",_CIRCLES_0051CA_UA_56_31.png,https://twitter.com/BenDoBrown/status/1648403714175119364,None,Sudanese Armed Forces,3,True,UNK
a4ff33c5-74b6-4744-3218-08db40046b63,32.508646,15.561115,2023-04-19T10:48:00,19 1048 APR 2023,"A residential complex that caught fire in central Khartoum, Sudan HG65+CFR Khartoum, Sudan",_CIRCLES_AC7339_NEUTRAL_56_192.png,https://twitter.com/marksnoeck/status/1648609458111541249,None,---,3,True,---
dc03a1e4-1b5b-44ee-31de-08db40046b63,32.518884,15.597663,2023-04-19T14:33:00,19 1433 APR 2023,"A sniper position in Khartoum. HGX9+3H6 Khartoum, Sudan",_CIRCLES_400080_BE_56_100.png,https://twitter.com/Khalid50837080/status/1648666085170790402,None,Rapid Support Forces,3,True,---
00e03299-a273-4a88-3223-08db40046b63,25.34498,13.65566,2023-04-19T17:00:00,19 1700 APR 2023,"GEOINT analysis on 19 April 2023, reveals fire and damage caused by clashes between military forces within Sudan. M84V+7X9 Al Fashir, Sudan",_CIRCLES_AC7339_NEUTRAL_56_192.png,https://twitter.com/AllSourceA/status/1649196496791945216,None,---,2,True,---
52f80088-de30-4586-31df-08db40046b63,32.536173,15.597689,2023-04-19T17:27:00,19 1727 APR 2023,"An army tank who crash into an other military vehicle in #Khartoum city Sudan and got destroyed. HGXP+3FF Khartoum, Sudan",_CIRCLES_0051CA_UA_56_42.png,https://twitter.com/WarMonitors/status/1648709922849210368,None,Sudanese Armed Forces; Rapid Support Forces,3,True,UNK
3663a7ac-f967-4ae2-3225-08db40046b63,32.623351,15.591011,2023-04-20T10:25:00,20 1025 APR 2023,"RSF forces on Garri ring road in Khartoum, Sudan. HJRF+C85 Khartoum, Sudan",_CIRCLES_400080_BE_56_61.png,https://twitter.com/SOFDoctor/status/1648966214155157505,None,Rapid Support Forces,1,True,---
c1524a28-ba1c-40a2-3224-08db40046b63,32.492811,15.647526,2023-04-20T16:32:00,20 1632 APR 2023,"Geolocation of RSF convoy in Ondurman, Al-Azhari Roundabout. JFXV+247 Omdurman, Sudan",_CIRCLES_400080_BE_56_61.png,https://twitter.com/amanar_advisor/status/1649088613920182273/photo/1,None,Rapid Support Forces,1,True,---
616e0b98-2724-448a-3226-08db40046b63,24.90923423,12.0867428,2023-04-20T17:00:00,20 1700 APR 2023,"Satellite images show that the World Food Program camp and warehouses in al-Fashir, Sudan, have likely been looted or/and attacked. Most of the tents set up within the camp were dismantled after the start of hostilities. 3WP5+MMX Nyala, Sudan",_CIRCLES_0A5900_NATO_56_132.png,https://twitter.com/COUPSURE/status/1649344365347713026,None,World Food Program,2,True,--- 
5573cb7d-28b3-412f-3227-08db40046b63,32.531111,15.643333,2023-04-21T06:25:00,21 0625 APR 2023,"Troop movement on Al-Ma Una Street. JGVJ+8CQ Khartoum North, Sudan",_CIRCLES_400080_BE_56_100.png,https://twitter.com/kapohmd03/status/1649269894762885121,None,Rapid Support Forces,3,True,---
c7488b82-e530-4c3b-3228-08db40046b63,32.531410166414865,15.652717250106365,2023-04-21T06:25:00,21 0625 APR 2023,"Armed men walking down the Al-Ma Una St, in north Khartoum, Sudan. This was likely filmed this morning around 0600. MG3J+3HM Khartoum North, Sudan",_CIRCLES_400080_BE_56_100.png,https://twitter.com/Mohamed_kamal45/status/1649278291897995266,None,Rapid Support Forces,3,True,---
1f491806-0213-4175-3229-08db40046b63,32.583075,15.53906,2023-04-21T07:41:00,21 0741 APR 2023,"Damaged building in Khartoum on Al Siteen avenue. GHQM+J6G Khartoum, Sudan",_CIRCLES_3184FF_UA_CIV_56_132.png,https://twitter.com/MOTAZALI3/status/1649287393281802244,None,---,1,True,---
